Dest_0,Dest_1,Dest_2,Dest_3,Dest_4,Dest_5,Dest_6,Dest_7,Dest_8,Dest_9,Dest_10,Dest_11,Dest_12,Dest_13,Dest_14,Dest_15
0.0,0.01,0.01,0.0,0.7,0.0,0.0,0.03,0.17,0.0,0.0,0.03,0.02,0.005,0.005,0.02
0.056,0.0,0.0,0.056,0.185,0.019,0.019,0.185,0.185,0.019,0.019,0.185,0.019,0.019,0.019,0.019
0.024,0.024,0.0,0.024,0.122,0.024,0.024,0.122,0.122,0.024,0.024,0.122,0.122,0.049,0.049,0.122
0.0,0.01,0.01,0.0,0.03,0.0,0.0,0.17,0.03,0.0,0.0,0.7,0.02,0.005,0.005,0.02
0.15,0.03,0.02,0.04,0.0,0.45,0.04,0.0,0.0,0.25,0.02,0.0,0.0,0.0,0.0,0.0
0.08,0.01,0.0,0.08,0.32,0.0,0.07,0.1,0.1,0.07,0.07,0.1,0.0,0.0,0.0,0.0
0.08,0.01,0.0,0.08,0.1,0.07,0.0,0.32,0.1,0.07,0.07,0.1,0.0,0.0,0.0,0.0
0.04,0.03,0.02,0.15,0.0,0.25,0.45,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0
0.15,0.03,0.02,0.04,0.0,0.25,0.02,0.0,0.0,0.45,0.04,0.0,0.0,0.0,0.0,0.0
0.08,0.01,0.0,0.08,0.1,0.07,0.07,0.1,0.32,0.0,0.07,0.1,0.0,0.0,0.0,0.0
0.08,0.01,0.0,0.08,0.1,0.07,0.07,0.1,0.1,0.07,0.0,0.32,0.0,0.0,0.0,0.0
0.04,0.03,0.02,0.15,0.0,0.02,0.25,0.0,0.0,0.04,0.45,0.0,0.0,0.0,0.0,0.0
0.05,0.01,0.01,0.05,0.25,0.0,0.0,0.08,0.45,0.0,0.0,0.08,0.0,0.01,0.01,0.0
0.4,0.02,0.02,0.4,0.04,0.0,0.0,0.04,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0
0.4,0.02,0.02,0.4,0.04,0.0,0.0,0.04,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0
0.05,0.01,0.01,0.05,0.08,0.0,0.0,0.25,0.08,0.0,0.0,0.45,0.0,0.01,0.01,0.0
